,GPAAA,GPA,GPAA,SLC,School,Plus,Physics,Math,Chemistry,Bio,Parent1,Parent2,X1,X2,X3,X4,X5,X6,X111,X222,X333,X444,X555,X666,GPAA,GPAA,pf,Int,Internal,FinalGPA,Prog,OrdGPA,GPAAA
66,B,0.695,4,0.652777778,1,0.75,0.621621622,0.442307692,0.342105263,0,1,0.666666667,0.72,0.84,0.75,0.88,0.86,0.78,0.944444444,0.666666667,0.722222222,0.722222222,0.777777778,1,4,4,1,72,36,70,Civil III,7,B
67,F,0,0,0.866666667,0,0.944444444,0.810810811,0.884615385,0.552631579,0,1,0,0.9,0.76,0.75,0.92,0.98,0.72,0.777777778,0.722222222,0,0.944444444,0.777777778,1,0,0,0,90,45,0,Civil III,0,F
68,B+,0.77,3,0.7,0,0.833333333,0.621621622,0.692307692,0.763157895,0.815217391,1,0.666666667,0.66,0.9,0.666666667,0.84,0.92,0.76,0.722222222,0.888888889,0.944444444,0.944444444,0.722222222,1,3,3,1,66,33,75,Civil III,8,B+
69,F,0,0,0.583333333,1,0.694444444,0.864864865,0.480769231,0.368421053,0,0.666666667,0.666666667,0.84,0.98,0.833333333,0.88,0.98,0.96,0.944444444,0.833333333,0.944444444,0.888888889,0,1,0,0,0,84,42,0,Civil III,0,F
70,B,0.7375,4,0.805555556,0,0.777777778,0.702702703,0.769230769,0.5,0,0,0.666666667,0.76,0.8,0.541666667,0.72,0.92,0.88,0.888888889,0.777777778,0.777777778,0.944444444,0.611111111,1,4,4,1,76,38,70,Civil III,7,B
71,A-,0.8425,2,0.673611111,1,0.611111111,0.810810811,0.442307692,0.868421053,0.77173913,0.666666667,1,0.78,0.82,0.833333333,0.9,0.92,0.88,0.833333333,0.944444444,0.888888889,1,0.777777778,1,2,2,1,78,39,80,Civil III,9,A-
72,F,0,0,0.661111111,0,0.777777778,0.540540541,0.711538462,0.526315789,0.815217391,0.666666667,1,0.54,0.7,0.375,0.84,0.86,0.82,0.666666667,0.944444444,0,0.722222222,0.666666667,1,0,0,0,54,27,0,Civil III,0,F
73,A-,0.86,2,0.864722222,0,0.861111111,0.567567568,0.884615385,0.552631579,0.815217391,0.666666667,0.666666667,0.8,0.9,0.791666667,0.92,0.98,0.78,0.944444444,0.833333333,1,0.833333333,0.833333333,1,2,2,1,80,40,80,Civil III,9,A-
74,A-,0.8475,2,0.780555556,1,0.861111111,0.810810811,0.769230769,0.605263158,0.75,1,1,1,0.88,0.75,0.92,0.92,0.8,0.888888889,1,0.833333333,0.777777778,0.888888889,1,2,2,1,100,50,80,Civil III,9,A-
75,F,0,0,0.830555556,0,0.75,0.702702703,0.769230769,0.447368421,0.75,0,0,0.8,0.78,0.583333333,0.86,0.86,0.86,0.666666667,0.833333333,0,0,0,1,0,0,0,80,40,0,Civil III,0,F
76,F,0,0,0.761111111,0,0.666666667,0.540540541,0.576923077,0.447368421,0.847826087,0.666666667,0.666666667,0.8,0.76,0.666666667,0.8,0.86,0.8,0.722222222,0.722222222,0,0,0,0.944444444,0,0,0,80,40,0,Civil III,0,F
77,A-,0.8825,2,0.875,0,0.944444444,0.513513514,0.711538462,0.789473684,0.858695652,1,0.666666667,0.9,0.9,0.625,0.92,0.98,0.72,0.833333333,1,0.944444444,1,0.833333333,1,2,2,1,90,45,80,Civil III,9,A-
78,B+,0.775,3,0.855555556,0,0.944444444,0.810810811,0.903846154,0.605263158,0.880434783,0.666666667,0.666666667,0.86,0.82,0.791666667,0.88,0.98,0.74,0.666666667,0.888888889,0.777777778,1,0.777777778,1,3,3,1,86,43,75,Civil III,8,B+
79,F,0,0,0.722222222,0,0.555555556,0.513513514,0.673076923,0.263157895,0.706521739,1,0.666666667,0.88,0.86,0.666666667,0.92,0.92,0.8,0.722222222,0.888888889,0,0.944444444,0,1,0,0,0,88,44,0,Civil III,0,F
80,F,0,0,0.866666667,0,0.777777778,0.72972973,0.807692308,0.447368421,0.706521739,0.666666667,1,0.76,0.9,0.875,0.86,0.86,0.8,0.944444444,0.833333333,0,0.722222222,0,1,0,0,0,76,38,0,Civil III,0,F
81,A-,0.84,2,0.833333333,0,0.861111111,0.810810811,0.826923077,0.710526316,0,1,0.666666667,0.94,0.96,0.666666667,0.94,0.92,0.74,1,0.666666667,0.777777778,1,0.833333333,1,2,2,1,94,47,80,Civil III,9,A-
