"","GPA","SLC","School","Plus","Physics","Math","Chemistry","Bio","Parent1","Parent2","X1","X2","X3","X4","X5","X6","X111","X222","X333","X444","X555","X666"
"92",0.9925,0.833333333333333,0,0.777777777777778,0.675675675675676,0.865384615384615,0.394736842105263,0.760869565217391,0.333333333333333,1,0.92,0.92,0.75,0.98,0.96,0.82,1,1,1,1,1,1
"93",0.9925,0.861111111111111,0,0.777777777777778,0.675675675675676,0.865384615384615,0.394736842105263,0.760869565217391,0.333333333333333,1,0.98,0.86,0.416666666666667,0.94,0.76,0.8,0.944444444444444,0.833333333333333,0.944444444444444,0,0,0.944444444444444
"94",0.9875,0.888888888888889,1,0.722222222222222,0.567567567567568,0.634615384615385,0.394736842105263,0.869565217391304,1,1,0.94,0.92,0.666666666666667,0.76,0.84,0.76,0.722222222222222,1,0.888888888888889,0.888888888888889,0.777777777777778,1
"95",0.9825,0.527777777777778,0,0.5,0.756756756756757,0.326923076923077,0.0263157894736842,0.521739130434783,0,1,0.76,0.5,0.0833333333333333,0.46,0.62,0.82,0,0,0,0,0,1
"96",0.98,0.555555555555556,1,0.5,0.756756756756757,0.326923076923077,0.0263157894736842,0.521739130434783,0,1,0.46,0.68,0.333333333333333,0.64,0.8,0.84,0,0,0,0.833333333333333,0.777777777777778,1
"97",0.975,0.583333333333333,1,0.5,0.756756756756757,0.326923076923077,0.0263157894736842,0.521739130434783,0,1,0.64,0.78,0.583333333333333,0.8,0.82,0.8,0.722222222222222,0,0.722222222222222,0.777777777777778,0.833333333333333,0.888888888888889
"98",0.9725,0.416666666666667,1,0.583333333333333,0.027027027027027,0.442307692307692,0.157894736842105,0,0.333333333333333,0.666666666666667,0.8,0.76,0.583333333333333,0.8,0.94,0.9,0.833333333333333,0.722222222222222,0.888888888888889,0.888888888888889,0,1
"99",0.9675,0.294444444444444,0,0.5,0.486486486486487,0.365384615384615,0.447368421052632,0,0.333333333333333,0,0.8,0.78,0.541666666666667,0.78,0.8,0.78,0,0,0.777777777777778,0.777777777777778,0.722222222222222,0.944444444444444
"100",0.9675,0.322222222222222,0,0.5,0.486486486486487,0.365384615384615,0.447368421052632,0,0.333333333333333,0,0.78,0.62,0.333333333333333,0.46,0.76,0.62,0,0,0.555555555555556,0.722222222222222,0.722222222222222,1
"101",0.9625,0.35,0,0.5,0.486486486486487,0.365384615384615,0.447368421052632,0,0.333333333333333,0,0.46,0.68,0.333333333333333,0.7,0.74,0.76,0,0,0.555555555555556,0.722222222222222,0.722222222222222,1
"102",0.9575,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.7,0.56,0.125,0.7,0.8,0.54,0,0,0,0,0,1
"103",0.9475,0.75,1,0.805555555555556,0.675675675675676,0.480769230769231,0.657894736842105,0,0.333333333333333,0.666666666666667,0.7,0.92,0.583333333333333,0.8,0.92,0.8,0.833333333333333,0.944444444444444,0.833333333333333,1,0.833333333333333,1
"104",0.9425,0.604166666666667,0,0.75,0.594594594594595,0.769230769230769,0.736842105263158,0.782608695652174,0,0.333333333333333,0.8,0.76,0.833333333333333,0.76,0.82,0.84,0.833333333333333,0.888888888888889,0.722222222222222,0.888888888888889,0.777777777777778,1
"105",0.935,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.76,0.56,0.416666666666667,0.66,0.74,0.66,0,0,0,0,0.777777777777778,1
"106",0.93,0.8125,1,0.416666666666667,0.0540540540540541,0.673076923076923,0.184210526315789,0.793478260869565,1,1,0.66,0.92,0.916666666666667,0.96,0.96,0.98,0.944444444444444,1,1,1,1,1
"107",0.92,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.96,0.8,0.541666666666667,0.64,0.68,0.74,0,0,0,0,0,1
"108",0.92,0.583333333333333,0,0.777777777777778,0.135135135135135,0.769230769230769,0.184210526315789,0.815217391304348,0.333333333333333,0.333333333333333,0.64,0.76,0.791666666666667,0.8,0.84,0.88,0.888888888888889,0.888888888888889,0.944444444444444,0.833333333333333,0.722222222222222,1
"109",0.915,0.111111111111111,0,0.444444444444444,0.27027027027027,0.576923076923077,0.184210526315789,0.630434782608696,0,0.666666666666667,0.8,0.8,0.791666666666667,0.78,0.88,0.9,0,0.777777777777778,0.777777777777778,0.833333333333333,0.944444444444444,1
"110",0.905,0.972222222222222,1,0.944444444444444,0.810810810810811,0.826923076923077,0.657894736842105,0.869565217391304,0.666666666666667,1,0.78,0.92,0.625,0.88,0.94,0.94,0.888888888888889,1,1,1,1,1
